# version: 1.2.1
# date: 2026-05-29
Manufacturer,Model,Model (Exif),Image Source (XMP),Camera,Nominal Sensor Size,sensor_w,sensor_h,Image Width
DJI,Mavic 3E,"M3E, M3ED",WideCamera,Wide,3-Apr,17.3,13,
DJI,Mavic 3T,"M3T, M3TD",WideCamera,Wide,"1/2""",6.4,4.8,
DJI,Mavic 3E,"M3E, M3ED",ZoomCamera,Zoom,"1/2""",6.4,4.8,
DJI,Mavic 3T,"M3T, M3TD",ZoomCamera,Zoom,"1/2""",6.4,4.8,
DJI,Mavic 3T,"M3T, M3TD",InfraredCamera,Thermal,Thermal Base,7.68,6.14,
DJI,Mavic 3M,M3M,,,3-Apr,17.3,13,
DJI,Matrice 30,M30,WideCamera,Wide,"1/2""",6.4,4.8,
DJI,Matrice 30,M30,ZoomCamera,Zoom,"1/2""",6.4,4.8,
DJI,Matrice 30T,M30T,WideCamera,Wide,"1/2""",6.4,4.8,
DJI,Matrice 30T,M30T,ZoomCamera,Zoom,"1/2""",6.4,4.8,
DJI,Matrice 30T,M30T,InfraredCamera,Thermal,Thermal Base,7.68,6.14,
DJI,Mini 5 Pro,FC9313,,,"1""",13.2,8.8,
DJI,Mini 4 Pro,FC8482,,,"1/1.3""",9.65,7.24,
DJI,Mini 3 Pro,FC3582,,,"1/1.3""",9.65,7.24,
DJI,Mini 3,FC3682,,,"1/1.3""",9.65,7.24,
DJI,Air 3S,FC9113,,Wide,"1""",13.2,8.8,
DJI,Air 3S,FC9184,,Zoom,"1/1.3""",9.65,7.24,
DJI,Air 3,FC8282,,Wide,"1/1.3""",9.65,7.24,
DJI,Air 3,FC8284,,Zoom,"1/1.3""",9.65,7.24,
DJI,Air 2S,FC3411,,,"1""",13.2,8.8,
DJI,Air 2,FC3170,,,"1/2""",6.4,4.8,
DJI,Air,FC2103,,,"1/2.3""",6.16,4.62,
DJI,Mavic 4 Pro,L3D-100c,,Hasselblad,3-Apr,17.3,13,
DJI,Mavic 4 Pro,FC9284,,Medium,"1/1.3""",9.65,7.24,
DJI,Mavic 4 Pro,FC9287,,Zoom,"1/1.5""",7.36,5.52,
DJI,Mavic 3 Pro,L2D-20C,,Hasselblad,3-Apr,17.3,13,
DJI,Mavic 3 Pro,FC4382,,Medium,"1/1.3""",9.65,7.24,
DJI,Mavic 3 Pro,FC4370,,Zoom,"1/2""",6.4,4.8,
DJI,Mavic 3 Classic,L2D-20c,,,3-Apr,17.3,13,
DJI,Mavic 2 Pro,L1D-20c,,,"1""",13.2,8.8,
DJI,Mavic 2 Zoom,FC2204,,,"1/2.3""",6.16,4.62,
DJI,Mavic Pro,FC220,,,"1/2.3""",6.16,4.62,
DJI,Mavic Pro Platinum,FC220,,,"1/2.3""",6.16,4.62,
DJI,Mini 2,FC7303,,,"1/2.3""",6.16,4.62,
DJI,Mini 2 SE,,,,"1/2.3""",6.16,4.62,
DJI,Mini,FC7203,,,"1/2.3""",6.16,4.62,
DJI,Phantom 4 Pro v2.0,FC6310S,,,"1""",13.2,8.8,
DJI,Phantom 4 RTK,FC6310R,,,"1""",13.2,8.8,
DJI,Phantom 4 Pro,FC6310,,,"1""",13.2,8.8,
DJI,Phantom 4 Advanced,FC6310,,,"1""",13.2,8.8,
DJI,Phantom 4 Multispectral,FC6360,,,"1/2.9""",4.96,3.72,
DJI,Phantom 4,FC330,,,"1/2.3""",6.16,4.62,
DJI,Phantom 3 4K,FC300X,,,"1/2.3""",6.16,4.62,
DJI,Phantom 3 Pro v.2,FC300SE,,,"1/2.3""",6.16,4.62,
DJI,Phantom 3 Pro,FC300S,,,"1/2.3""",6.16,4.62,
DJI,Phantom 3 Advanced,FC300XW,,,"1/2.3""",6.16,4.62,
DJI,Phantom 3,FC300C,,,"1/2.3""",6.16,4.62,
DJI,Mavic 2E,FC2220,,Zoom,"1/2.3""",6.16,4.62,
DJI,Mavic 2E Dual,FC2403,,RGB,"1/2.3""",6.16,4.62,
DJI,Mavic 2E Dual,FC2403,,Thermal,DJI Thermal 2E,1.44,1.92,640
DJI,Mavic 2E Advanced,MAVIC2-ENTERPRISE-ADVANCED,,RGB,"1/2""",6.4,4.8,
DJI,Mavic 2E Advanced,MAVIC2-ENTERPRISE-ADVANCED,,Thermal,DJI Thermal 2E,1.44,1.92,640
DJI,Zenmuse P1,ZenmuseP1,,,Full Frame,35.9,24,8192
DJI,Zenmuse X7,FC6540,,,,23.5,15.7,
DJI,Zenmuse X5S,FC6529,,,3-Apr,17.3,13,
DJI,Zenmuse X4S,FC6510,,,"1""",13.2,8.8,
DJI,Zenmuse X5R,FC550RAW,,,3-Apr,17.3,13,
DJI,Zenmuse X5,FC550,,,3-Apr,17.3,13,
DJI,Zenmuse X3,FC350,,,"1/2.3""",6.16,4.62,
DJI,Zenmuse XT,XT,,Thermal,,8.74,10.88,"336, 640"
DJI,Zenmuse XT2,XT2,,RGB,"1/1.7""",7.53,5.64,
DJI,Zenmuse XT2,XT2,,Thermal,,8.74,10.88,"336, 640"
DJI,Zenmuse XTS,XT S,,Thermal,,8.74,10.88,640
DJI,Zenmuse H20,ZH20,,Wide,"1/2.3""",6.16,4.62,4056
DJI,Zenmuse H20,ZH20,,Zoom,"1/1.7""",7.53,5.64,5184
DJI,Zenmuse H20T,ZH20T,,Wide,"1/2.3""",6.16,4.62,4056
DJI,Zenmuse H20T,ZH20T,,Zoom,"1/1.7""",7.53,5.64,5184
DJI,Zenmuse H20T,ZH20T,,Thermal,Thermal Base,7.68,6.14,640
DJI,Zenmuse H20N,ZH20N,,Wide,"1/2.7""",5.33,4,4056
DJI,Zenmuse H20N,ZH20N,,Zoom,"1/1.8""",7.11,5.33,5184
DJI,Zenmuse H20N,ZH20N,,Thermal,Thermal Base,7.68,6.14,640
DJI,Zenmuse H30,H30,,Wide,"1/1.3""",9.65,7.24,"8064, 4032"
DJI,Zenmuse H30,H30,,Zoom,"1/1.8""",7.11,5.33,"7328, 3664"
DJI,Zenmuse H30T,H30T,,Wide,"1/1.3""",9.65,7.24,"8064, 4032"
DJI,Zenmuse H30T,H30T,,Zoom,"1/1.8""",7.11,5.33,"7328, 3664"
DJI,Zenmuse H30T,H30T,,Thermal,,15.36,12.288,1280
DJI,Matrice 4E,"M4E, M4ED",WideCamera,Wide,3-Apr,17.3,13,
DJI,Matrice 4E,"M4E, M4ED",,Medium,"1/1.3""",9.65,7.24,
DJI,Matrice 4E,"M4E, M4ED",ZoomCamera,Zoom,"1/1.5""",7.36,5.52,
DJI,Matrice 4T,"M4T, M4TD",WideCamera,Wide,"1/1.3""",9.65,7.24,
DJI,Matrice 4T,"M4T, M4TD",ZoomCamera,Zoom,"1/1.5""",7.36,5.52,
DJI,Matrice 4T,"M4T, M4TD",InfraredCamera,Thermal,Thermal Base,7.68,6.14,
Autel,Evo I,XB015,,,,,,
Autel,Evo II 8K,XT701,,,"1/2""",6.4,4.8,
Autel,Evo II Pro 6k,"XT705, XL505",,,"1""",13.2,8.8,
Autel,Evo II Pro V3,,,,"1""",13.2,8.8,
Autel,Evo II V3,XT706,,,,,,
Autel,Evo II Dual 640T,XL709,,RGB,"1/1.28""",7.7,5.8,
Autel,Evo II Dual 640T,XL709,,Thermal,Thermal Base,7.68,6.14,
Autel,Evo II Dual 640T,"XL725, XL726",,RGB,"1/2""",6.4,4.8,
Autel,Evo II Dual 640T,"XL725, XL726",,Thermal,Thermal Base,7.68,6.14,
Autel,Evo Nano,,,RGB,"1/2""",6.4,4.8,
Autel,Evo Nano +,XL724,,RGB,"1/1.28""",7.7,5.8,
Autel,Evo Lite +,XL720,,RGB,"1""",13.2,8.8,
Autel,Evo Lite,,,RGB,"1/1.28""",7.7,5.8,
